"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"A2M",-0.337038049459751,7.6073319290099,-3.36151962524046,0.0014011144051314,0.75459742169929,-2.20448069599158
"STK32C",-0.595488130475958,3.27659317960034,-3.35477667084597,0.0014298079538468,0.75459742169929,-2.21428958543405
"NCKAP5L",-0.404599412496591,3.45413576043077,-3.35316511637027,0.00143674754126863,0.75459742169929,-2.21663242926458
"PIK3CB",0.48215502440469,3.59102300058887,3.34707068793838,0.00146328030082303,0.75459742169929,-2.22548725823672
"PCK1",-0.517783126216643,3.54138309395802,-3.34136864566472,0.00148852399345201,0.75459742169929,-2.23376461639815
"EPB41L2",-0.366081743479922,4.15217272296855,-3.33779667109571,0.00150454686825411,0.75459742169929,-2.23894623026471
"EHBP1L1",-0.620761376894552,3.55452125574776,-3.33744640296589,0.00150612682537075,0.75459742169929,-2.23945418865962
"DLX5",0.521643283405507,3.05836917914636,3.31863277323932,0.00159333302875241,0.75459742169929,-2.26669784044548
"HNRNPC",-0.50265829997794,4.47556363378277,-3.30104992873093,0.00167913012422231,0.75459742169929,-2.2920879209232
"NCL",-0.384053618118493,4.56003677259808,-3.28934166796791,0.00173866227703482,0.75459742169929,-2.30895634940324
"VAMP4",0.38393732076914,3.83516529938363,3.27416283628003,0.00181881020399912,0.75459742169929,-2.33077855733557
"UTP18",-0.465511027840147,3.66508560518778,-3.25912727056683,0.00190162895367496,0.75459742169929,-2.35234271936707
"TESK1",-0.567272980399367,3.07336500341557,-3.25637735475094,0.00191715560377077,0.75459742169929,-2.3562810314957
"SLC9A6",-0.519369775009974,3.22183606780326,-3.24626008852574,0.00197531486474823,0.75459742169929,-2.37075543516475
"CDC5L",0.461007344161106,3.74990253988467,3.22749561857839,0.00208760978421993,0.75459742169929,-2.39753774647951
"RAB12",-0.428203698847858,4.1524379163726,-3.22318517981508,0.00211424121551682,0.75459742169929,-2.40367828331863
"SNRNP70",-0.489071241953733,4.14052191324874,-3.22027306181483,0.00213241402292941,0.75459742169929,-2.40782432156488
"MAL",-0.446971288971016,3.84744107052279,-3.21568718713098,0.00216133015369981,0.75459742169929,-2.41434924227307
"CYP26A1",0.5173497707686,3.36472728831013,3.20884676050705,0.00220514892785727,0.75459742169929,-2.42407271279847
"SPINK2",0.486314523877108,3.34551208172973,3.20868386795518,0.00220620251422749,0.75459742169929,-2.42430412391707
"KCNJ2",0.544921948896492,3.49107854020435,3.19886437253314,0.00227059695113062,0.75459742169929,-2.43824233458376
"LSP1",0.404475354419567,4.07493750877167,3.18571817594688,0.0023595780266926,0.75459742169929,-2.45686632821805
"TNFSF18",0.515867313872741,3.27151922069571,3.17796079085016,0.00241361176721349,0.75459742169929,-2.4678364782017
"RUSC2",-0.379697818393894,3.7804847275215,-3.17709261680913,0.0024197308289132,0.75459742169929,-2.4690633020741
"TMEM121B",-0.498140935668019,3.29895772036686,-3.17598077104315,0.00242758862758683,0.75459742169929,-2.47063419261064
"CYP2C8",-0.606327372172597,2.85853865590134,-3.17177690142187,0.00245751607056944,0.75459742169929,-2.47657098032445
"ITGAE",0.486778017677247,2.98620685917332,3.17159795440864,0.00245879765815367,0.75459742169929,-2.47682359718455
"RHOB",-0.363670052120446,6.16108349117143,-3.16508913491924,0.00250584173199099,0.75459742169929,-2.48600668165768
"WWC3",-0.412698792791334,3.51015622862872,-3.16340124515379,0.00251817868785742,0.75459742169929,-2.48838637744728
"PDGFRA",-0.39576959982282,4.32524945260773,-3.15712046167229,0.0025645883983049,0.75459742169929,-2.49723528621742
"BRD1",-0.425870412419213,3.59897706136684,-3.15646243606749,0.00256949685900894,0.75459742169929,-2.49816180785155
"BSND",-0.615494934204817,2.90233187347681,-3.15155612732654,0.00260637387551671,0.75459742169929,-2.50506668622827
"NRG1",0.524860979496508,3.1885541048996,3.14779201242934,0.00263500204155545,0.75459742169929,-2.51036007122903
"PTP4A3",-0.397231017212664,4.46116390531226,-3.14269816225954,0.00267421369291591,0.75459742169929,-2.51751784394721
"GRAPL",0.334610346615444,4.78273934699643,3.12698704843464,0.00279863152517776,0.771291989001174,-2.53955410478717
"CCN3",0.560515385721885,3.15541423704572,3.11542794879475,0.00289361281559794,0.771291989001174,-2.55572732028126
"C12orf73",-0.480410326749733,3.38251649340874,-3.109367291455,0.00294461250299841,0.771291989001174,-2.56419378931785
"PRSS21",0.459252865073045,3.31206954801939,3.1078691765611,0.00295734813725195,0.771291989001174,-2.56628515692742
"APOE",-0.475528056128601,4.48641728896723,-3.10425843489555,0.00298825581936615,0.771291989001174,-2.57132341209809
"CYB561A3",-0.472066909715569,3.45277194089944,-3.10045943896147,0.003021101424215,0.771291989001174,-2.57662077387554
"FDFT1",-0.566529081605273,3.1516464465639,-3.07153087739557,0.0032825286512831,0.818518928531564,-2.61683802387681
"MIEF1",-0.392482260523491,3.39456817623178,-3.06884274730793,0.00330786684621684,0.818518928531564,-2.62056419293915
"ADAMTS2",-0.572807958054473,2.7016020482577,-3.05704568558217,0.00342124318886067,0.833746597721744,-2.63689458909931
"EVA1A",0.575880536867504,3.08229115809529,3.04290953710872,0.00356188151941268,0.855064214301993,-2.65641509363922
"PDGFRB",-0.374734536375878,5.83650283335423,-3.03368756270868,0.0036565204620885,0.864874634003404,-2.66912135887044
"PRRT2",-0.397443300292792,3.82889542747588,-3.02282372068187,0.00377101925775164,0.872000660942537,-2.68406098757881
"ALAS2",0.380999401791211,3.43308305225431,3.02058010894545,0.00379507872830002,0.872000660942537,-2.68714243178222
"DDX5",-0.285321935283413,6.70022345032111,-3.00405095067896,0.00397679324693253,0.900883698361448,-2.70980266860759
"RNH1",-0.384522535396985,4.45635371436251,-2.99762408924792,0.00404961280687645,0.904638505358344,-2.71859363443792
"ZNF587",0.282752789906702,6.91526125371848,2.99007074673096,0.00413678392334128,0.906828868662582,-2.72891121870644
"ECE2",0.514472224465837,3.88540611696654,2.98512144487537,0.00419484714400723,0.906828868662582,-2.73566340974014
"OXCT2",0.38713676071226,3.82596186583844,2.97863440697945,0.00427210020543442,0.906828868662582,-2.74450341975914
"NTRK2",-0.385653944025127,3.93134382860807,-2.96960892719342,0.0043817884134976,0.906828868662582,-2.7567835378981
"KXD1",-0.378253849863859,4.12002816098162,-2.9649015045488,0.00444003317042484,0.906828868662582,-2.7631796437988
"TEAD3",-0.472251173888486,3.60857788795997,-2.96456777897137,0.0044441895693302,0.906828868662582,-2.76363285538892
"CENPL",0.424695944913935,3.15065413550821,2.95993285259894,0.00450229098085223,0.906828868662582,-2.76992409324732
"MAP7D1",-0.464587416584817,3.44140235635376,-2.95928530308254,0.00451046440518568,0.906828868662582,-2.77080257725997
"NGEF",0.460624468860978,3.14092898285418,2.95200810933176,0.00460327169920507,0.914062000123634,-2.78066707951251
"NAE1",-0.476615889744102,2.94439156592447,-2.93484051681232,0.00482929308549854,0.934274782276074,-2.80388030668995
"CXCL8",-0.510130594713237,2.57206995182776,-2.92865725604267,0.00491319431227992,0.934274782276074,-2.81222093849294
"PDX1",-0.370181302999085,3.61566760185487,-2.92512214734187,0.00496176873735718,0.934274782276074,-2.8169846619702
"NUBP2",-0.497229005322557,3.83769548787269,-2.92272380627539,0.00499497679910078,0.934274782276074,-2.82021454465127
"CNR2",-0.423357522708352,3.43238261265489,-2.92226261234684,0.00500138621950449,0.934274782276074,-2.82083545663029
"MORF4L2",-0.402676519627474,4.14144241206496,-2.91852671556305,0.0050535877927144,0.934274782276074,-2.82586294631718
"LENG9",0.386622951538481,3.7232305880444,2.90743967363245,0.00521149902501102,0.952519889980422,-2.840759919385
"JUND",-0.327687959929248,4.95174139271948,-2.897278192023,0.00536023583246845,0.953890231434832,-2.85438274480715
"ZNF655",-0.364624858315076,4.05795712986762,-2.89371626654508,0.00541329779951107,0.953890231434832,-2.85915104101134
"GSN",-0.325052655179589,6.33420847078701,-2.89017802486929,0.00546648866146843,0.953890231434832,-2.86388405399011
"DCN",-0.45447024035387,6.12275356393868,-2.88408069610076,0.00555928865519143,0.953890231434832,-2.87203190375664
"SLC35F5",-0.527183528765825,3.32867834608249,-2.88163895454944,0.00559685905578374,0.953890231434832,-2.87529181614405
"HS6ST1",0.336505940593854,4.11980042573936,2.8803479733985,0.00561681794886525,0.953890231434832,-2.87701468457762
"NPIPA1",-0.276576667105052,5.31536933867229,-2.87143826819237,0.00575637194059283,0.953890231434832,-2.88889200839967
"CD80",0.442429495397977,3.40339906415809,2.86881733282762,0.00579803104554864,0.953890231434832,-2.89238156802366
"MGP",-0.315761028339751,7.21685166675986,-2.86825758573388,0.0058069641755957,0.953890231434832,-2.89312656843756
"TIE1",-0.370682275270174,3.9392129111486,-2.8620719286969,0.00590653437030565,0.953890231434832,-2.9013533973646
"SMIM3",-0.397868492713324,3.28503641933331,-2.85927860651744,0.00595201414879949,0.953890231434832,-2.90506484436193
"ADRA2C",-0.445250854964842,3.43357040237562,-2.85746971619282,0.00598163841178234,0.953890231434832,-2.90746708430108
"TMEM106C",-0.218391624273192,8.05711414569009,-2.84556749457269,0.00617998809136502,0.953890231434832,-2.92324973626156
